"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1838","@regression TC003 - Locked user login should fail","webkit","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","1038","@regression TC005 - Empty password validation","firefox","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","1591","TC008 - Add multiple items to cart","webkit","2026-04-21","passed","2026-04-21","Inventory Tests","inventory.spec.ts","",""
"","1173","TC010 - Sort products by name Z to A","firefox","2026-04-21","passed","2026-04-21","Inventory Tests","inventory.spec.ts","",""
"","1227","@regression TC005 - Empty password validation","webkit","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","1713","TC015 - Continue shopping from cart","webkit","2026-04-21","passed","2026-04-21","Cart Tests","cart.spec.ts","",""
"","1151","@regression TC002 - Invalid credentials should show error","firefox","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","828","TC016 - Proceed to checkout from cart","chromium","2026-04-21","passed","2026-04-21","Cart Tests","cart.spec.ts","",""
"","1624","TC017 - Complete checkout with valid information","firefox","2026-04-21","passed","2026-04-21","Checkout Tests","checkout.spec.ts","",""
"","672","TC011 - Sort products by price low to high","chromium","2026-04-21","passed","2026-04-21","Inventory Tests","inventory.spec.ts","",""
"","660","@smoke TC001 - Successful login with valid credentials","chromium","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","1565","TC007 - Add single item to cart","webkit","2026-04-21","passed","2026-04-21","Inventory Tests","inventory.spec.ts","",""
"","853","TC020 - Failed checkout with missing postal code","chromium","2026-04-21","passed","2026-04-21","Checkout Tests","checkout.spec.ts","",""
"","1432","TC012 - Sort products by price high to low","webkit","2026-04-21","passed","2026-04-21","Inventory Tests","inventory.spec.ts","",""
"","1861","TC017 - Complete checkout with valid information","webkit","2026-04-21","passed","2026-04-21","Checkout Tests","checkout.spec.ts","",""
"","868","TC015 - Continue shopping from cart","chromium","2026-04-21","passed","2026-04-21","Cart Tests","cart.spec.ts","",""
"","2064","TC013 - View cart with items","firefox","2026-04-21","passed","2026-04-21","Cart Tests","cart.spec.ts","",""
"","1266","@regression TC003 - Locked user login should fail","firefox","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","1766","TC020 - Failed checkout with missing postal code","firefox","2026-04-21","passed","2026-04-21","Checkout Tests","checkout.spec.ts","",""
"","1048","@regression TC004 - Empty username validation","firefox","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","1603","TC009 - Sort products by name A to Z","firefox","2026-04-21","passed","2026-04-21","Inventory Tests","inventory.spec.ts","",""
"","1408","@smoke TC001 - Successful login with valid credentials","webkit","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","674","TC008 - Add multiple items to cart","chromium","2026-04-21","passed","2026-04-21","Inventory Tests","inventory.spec.ts","",""
"","1374","TC019 - Failed checkout with missing last name","firefox","2026-04-21","passed","2026-04-21","Checkout Tests","checkout.spec.ts","",""
"","1620","TC014 - Remove item from cart","firefox","2026-04-21","passed","2026-04-21","Cart Tests","cart.spec.ts","",""
"","1197","@regression TC003 - Locked user login should fail","chromium","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","1312","@regression TC002 - Invalid credentials should show error","webkit","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","1440","TC015 - Continue shopping from cart","firefox","2026-04-21","passed","2026-04-21","Cart Tests","cart.spec.ts","",""
"","1498","TC010 - Sort products by name Z to A","webkit","2026-04-21","passed","2026-04-21","Inventory Tests","inventory.spec.ts","",""
"","1591","TC016 - Proceed to checkout from cart","webkit","2026-04-21","passed","2026-04-21","Cart Tests","cart.spec.ts","",""
"","818","TC018 - Failed checkout with missing first name","chromium","2026-04-21","passed","2026-04-21","Checkout Tests","checkout.spec.ts","",""
"","2077","@smoke TC001 - Successful login with valid credentials","firefox","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","1869","TC011 - Sort products by price low to high","firefox","2026-04-21","passed","2026-04-21","Inventory Tests","inventory.spec.ts","",""
"","1035","TC006 - Verify inventory page loads correctly","firefox","2026-04-21","passed","2026-04-21","Inventory Tests","inventory.spec.ts","",""
"","645","TC012 - Sort products by price high to low","chromium","2026-04-21","passed","2026-04-21","Inventory Tests","inventory.spec.ts","",""
"","1078","@regression TC005 - Empty password validation","chromium","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","895","TC013 - View cart with items","chromium","2026-04-21","passed","2026-04-21","Cart Tests","cart.spec.ts","",""
"","1771","TC018 - Failed checkout with missing first name","webkit","2026-04-21","passed","2026-04-21","Checkout Tests","checkout.spec.ts","",""
"","1781","TC019 - Failed checkout with missing last name","webkit","2026-04-21","passed","2026-04-21","Checkout Tests","checkout.spec.ts","",""
"","1327","TC018 - Failed checkout with missing first name","firefox","2026-04-21","passed","2026-04-21","Checkout Tests","checkout.spec.ts","",""
"","1410","TC006 - Verify inventory page loads correctly","webkit","2026-04-21","passed","2026-04-21","Inventory Tests","inventory.spec.ts","",""
"","1611","TC007 - Add single item to cart","firefox","2026-04-21","passed","2026-04-21","Inventory Tests","inventory.spec.ts","",""
"","537","@regression TC004 - Empty username validation","chromium","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","677","TC007 - Add single item to cart","chromium","2026-04-21","passed","2026-04-21","Inventory Tests","inventory.spec.ts","",""
"","786","TC021 - Cancel checkout","chromium","2026-04-21","passed","2026-04-21","Checkout Tests","checkout.spec.ts","",""
